,address,code_district,code_suburb,dock_bikes,free_bases,id,light,name,no_available,number,reservations_count,total_bases,date_time,longitude,latitude,coordinates
0,"Calle María de las Mercedes de Borbón, 214,",16,166,13,10,2365,2,"262 - María de las Mercedes de Borbón, 214",0,262,0,23,2024-02-12 13:34:45,-3.620114,40.4928683,"(-3.620114, 40.4928683)"
1,"Calle María de las Mercedes de Borbón, 98,",16,166,4,19,2366,0,"611 - María de las Mercedes de Borbón, 98",0,611,0,23,2024-02-12 13:34:45,-3.6121068531215528,40.490908297996654,"(-3.6121068531215528, 40.490908297996654)"
2,"237- calle Francisco Balseiro,Comunidad de Madrid España",06,061,19,5,2362,1,237 -  calle Francisco Balseiro,0,237,0,24,2024-02-12 13:34:45,-3.7102736,40.4516819,"(-3.7102736, 40.4516819)"
3,"para borrar,",16,166,0,0,1404,3,0 - para borrar,1,0,0,0,2024-02-12 13:34:45,-3.62018,40.49291,"(-3.62018, 40.49291)"
4,"Calle Miguel Moya nº 1,",01,015,12,15,1406,2,2 - Miguel Moya,0,2,0,27,2024-02-12 13:34:45,-3.70569,40.4204,"(-3.70569, 40.4204)"
5,"Plaza del Conde del Valle de Súchil nº 3,",07,072,5,14,1407,0,3 - Plaza Conde Suchil,0,3,0,19,2024-02-12 13:34:45,-3.7072537,40.4303223,"(-3.7072537, 40.4303223)"
6,"Calle Manuela Malasaña nº 5,",01,015,21,6,1408,1,4 - Malasaña,0,4,0,27,2024-02-12 13:34:45,-3.7025,40.4286259,"(-3.7025, 40.4286259)"
7,"C. de Castiello de Jaca, 14,",08,086,20,3,2352,1,"603 - C. de Castiello de Jaca, 14",0,603,0,23,2024-02-12 13:34:45,-3.6782027,40.5091982,"(-3.6782027, 40.5091982)"
8,"Bardegueral 15,Comunidad de Madrid España",09,097,11,12,2360,2,610 - Bardegueral,0,610,0,23,2024-02-12 13:34:45,-3.7719097,40.4501721,"(-3.7719097, 40.4501721)"
9,"Calle Fuencarral nº 108,",01,014,11,16,1409,2,5 - Fuencarral,0,5,0,27,2024-02-12 13:34:45,-3.7021354,40.4285212,"(-3.7021354, 40.4285212)"
10,"Calle Hortaleza nº 63,",01,014,11,8,1410,2,6 - Colegio Arquitectos,0,6,0,19,2024-02-12 13:34:45,-3.698447,40.424148,"(-3.698447, 40.424148)"
11,"Calle Hortaleza nº 75,",01,014,15,4,1411,1,7 - Hortaleza,0,7,0,19,2024-02-12 13:34:45,-3.6977715,40.4251906,"(-3.6977715, 40.4251906)"
12,"Plaza de Alonso Martínez nº 5,",07,074,18,5,1412,1,8 - Alonso Martínez,0,8,0,24,2024-02-12 13:34:45,-3.6954403,40.4278682,"(-3.6954403, 40.4278682)"
13,"Plaza de San Miguel nº 9,",01,011,11,13,1413,2,9 - Plaza de San Miguel,0,9,0,24,2024-02-12 13:34:45,-3.7095084,40.4156057,"(-3.7095084, 40.4156057)"
14,"Calle Marqués de la Ensenada nº 16,",01,014,19,4,1414,1,10 - Marqués de la Ensenada,0,10,0,23,2024-02-12 13:34:45,-3.692104,40.425403,"(-3.692104, 40.425403)"
15,"Calle San Andrés nº 18,",01,015,1,22,1415,0,11 - San Andrés,0,11,0,23,2024-02-12 13:34:45,-3.7036,40.427,"(-3.7036, 40.427)"
16,"Calle San Bernardo nº 85,",01,015,18,9,1416,2,12 - San Hermenegildo,0,12,0,27,2024-02-12 13:34:45,-3.7061406,40.4284667,"(-3.7061406, 40.4284667)"
17,"Avda del Ensanche de Vallecas, 80,",18,183,7,20,2340,0,"448 - Avda del Ensanche de Vallecas, 80",0,448,0,27,2024-02-12 13:34:45,-3.599352,40.363376,"(-3.599352, 40.363376)"
18,"Calle de los Pinillas, 19,",19,192,10,17,2341,2,"472 - Calle de los Pinillas, 19",0,472,0,27,2024-02-12 13:34:45,-3.6211485,40.3987974,"(-3.6211485, 40.3987974)"
19,"473 - Calle de Vilablanca, frente  85,",19,191,19,8,2342,1,"473 - Calle de Villablanca, frente  85",0,473,0,27,2024-02-12 13:34:45,-3.59888007,40.40500033,"(-3.59888007, 40.40500033)"
20,"Calle San Cipriano, 124,",19,193,17,10,2343,2,"474 - Calle San Cipriano, 124",0,474,0,27,2024-02-12 13:34:45,-3.596875,40.402255,"(-3.596875, 40.402255)"
21,"541- Avda. Gran Vía de Hortaleza, 68,",16,163,12,11,2347,2,"541 - Avda. Gran Vía de Hortaleza, 68",0,541,0,23,2024-02-12 13:34:45,-3.6468591,40.4682706,"(-3.6468591, 40.4682706)"
22,"546 - Calle Andorra, 6,",16,163,11,12,2348,2,"546 - Calle Andorra, 6",0,546,0,23,2024-02-12 13:34:45,-3.6467519,40.4628976,"(-3.6467519, 40.4628976)"
23,"550 - Calle del Príncipe Carlos, 54,",16,166,10,13,2349,2,"550 - Calle del Príncipe Carlos, 54",0,550,0,23,2024-02-12 13:34:45,-3.656674,40.4941108,"(-3.656674, 40.4941108)"
24,"553 - Calle de María de Portugal, 24,",16,166,12,11,2350,2,"553 - Calle de María de Portugal, 24",0,553,0,23,2024-02-12 13:34:45,-3.658921,40.499909,"(-3.658921, 40.499909)"
25,"601 -  Estación  Cerc. Fuencarral-El Pardo, ,",08,086,0,23,2351,0,"601 -  Estación  Cerc. Fuencarral-El Pardo, ",0,601,0,23,2024-02-12 13:34:45,-3.6824687,40.5015588,"(-3.6824687, 40.5015588)"
26,"Paseo de las Yeserías, 15,",02,022,1,22,2333,0,"276 - Paseo de las Yeserías, 15",0,276,0,23,2024-02-12 13:34:45,-3.7099166,40.39900539,"(-3.7099166, 40.39900539)"
27,"340 - Calle Illescas, 1C,",10,104,18,9,2334,2,"340 - Calle Illescas, 1C",0,340,0,27,2024-02-12 13:34:45,-3.7656976,40.3970983,"(-3.7656976, 40.3970983)"
