,activate,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
0,1,10,17,1406,2,0,0,2024-03-14 20:05:03
1,1,19,0,1407,1,0,0,2024-03-14 20:05:03
2,1,20,7,1409,1,0,0,2024-03-14 20:05:03
3,1,16,3,1410,1,0,0,2024-03-14 20:05:03
4,1,4,15,1411,0,0,0,2024-03-14 20:05:03
5,1,7,17,1412,0,0,0,2024-03-14 20:05:03
6,1,6,18,1413,0,0,0,2024-03-14 20:05:03
7,1,2,21,1414,0,0,0,2024-03-14 20:05:03
8,1,12,11,1415,2,0,0,2024-03-14 20:05:03
9,1,23,4,1416,1,0,0,2024-03-14 20:05:03
10,1,17,6,1417,1,0,0,2024-03-14 20:05:03
11,1,8,19,1418,0,0,0,2024-03-14 20:05:03
12,1,6,13,1419,0,0,0,2024-03-14 20:05:03
13,1,3,16,1420,0,0,0,2024-03-14 20:05:03
14,1,1,22,1421,0,0,0,2024-03-14 20:05:03
15,1,9,15,1422,2,0,0,2024-03-14 20:05:03
16,1,9,19,1423,0,0,0,2024-03-14 20:05:03
17,1,4,23,1424,0,0,0,2024-03-14 20:05:03
18,1,0,0,1425,3,1,0,2024-03-14 20:05:03
19,1,8,16,1426,2,0,0,2024-03-14 20:05:03
20,1,12,6,1427,2,0,0,2024-03-14 20:05:03
21,1,1,23,1428,0,0,0,2024-03-14 20:05:03
22,1,7,17,1429,0,0,0,2024-03-14 20:05:03
23,1,7,20,1430,0,0,0,2024-03-14 20:05:03
24,1,8,19,1431,0,0,0,2024-03-14 20:05:03
25,1,12,6,1432,2,0,0,2024-03-14 20:05:03
26,1,11,12,1433,2,0,0,2024-03-14 20:05:03
27,1,21,6,1434,1,0,0,2024-03-14 20:05:03
28,1,14,13,1435,2,0,0,2024-03-14 20:05:03
29,1,11,7,1436,2,0,0,2024-03-14 20:05:03
30,1,11,12,1437,2,0,0,2024-03-14 20:05:03
31,1,24,0,1438,1,0,0,2024-03-14 20:05:03
32,1,24,0,1439,1,0,0,2024-03-14 20:05:03
33,1,15,9,1440,2,0,0,2024-03-14 20:05:03
34,1,5,19,1441,0,0,0,2024-03-14 20:05:03
35,1,21,6,1442,1,0,0,2024-03-14 20:05:03
36,1,30,1,1443,1,0,0,2024-03-14 20:05:03
37,1,12,6,1444,2,0,0,2024-03-14 20:05:03
38,1,18,1,1445,1,0,0,2024-03-14 20:05:03
39,1,14,13,1446,2,0,0,2024-03-14 20:05:03
