,address,code_district,code_suburb,dock_bikes,free_bases,id,light,name,no_available,number,reservations_count,total_bases,date_time,longitude,latitude,coordinates
0,"Calle María de las Mercedes de Borbón, 214,",16,166,1,22,2365,0,262 - María de las Mercedes de Borbón B,0,262,0,23,2024-02-18 19:04:28,-3.620114,40.4928683,"(-3.620114, 40.4928683)"
1,"Calle María de las Mercedes de Borbón, 98,",16,166,6,17,2366,0,611 - María de las Mercedes de Borbón A,0,611,0,23,2024-02-18 19:04:28,-3.6121068531215528,40.490908297996654,"(-3.6121068531215528, 40.490908297996654)"
2,"CalleFrancisco Balseiro, 2 ,Comunidad de Madrid España",06,061,10,14,2362,2,237 - Acueducto de Amaniel,0,237,0,24,2024-02-18 19:04:28,-3.7102736,40.4516819,"(-3.7102736, 40.4516819)"
3,"para borrar,",16,166,0,0,1404,3,0 - para borrar,1,0,0,0,2024-02-18 19:04:28,-3.62018,40.49291,"(-3.62018, 40.49291)"
4,"Calle Miguel Moya nº 1,",01,015,19,8,1406,1,2 - Metro Callao,0,2,0,27,2024-02-18 19:04:28,-3.70569,40.4204,"(-3.70569, 40.4204)"
5,"Plaza del Conde del Valle de Súchil nº 4,",07,072,13,6,1407,2,3 - Plaza Conde Suchil,0,3,0,19,2024-02-18 19:04:28,-3.7072537,40.4303223,"(-3.7072537, 40.4303223)"
6,"Calle Manuela Malasaña nº 3,",01,015,16,11,1408,2,4 - Malasaña,0,4,0,27,2024-02-18 19:04:28,-3.7025,40.4286259,"(-3.7025, 40.4286259)"
7,"Calle Castillo de Jaca, nº14 ,",08,086,23,0,2352,1,"603 - Castiello de Jaca, 14",0,603,0,23,2024-02-18 19:04:28,-3.6782027,40.5091982,"(-3.6782027, 40.5091982)"
8,"Bardegueral nº16,Comunidad de Madrid España",09,097,0,23,2360,0,610 - Bardegueral,0,610,0,23,2024-02-18 19:04:28,-3.7719097,40.4501721,"(-3.7719097, 40.4501721)"
9,"Calle Fuencarral nº 106,",01,014,13,14,1409,2,5 - Fuencarral,0,5,0,27,2024-02-18 19:04:28,-3.7021354,40.4285212,"(-3.7021354, 40.4285212)"
10,"Calle Hortaleza nº 63,",01,014,7,12,1410,2,6 - Colegio Arquitectos,0,6,0,19,2024-02-18 19:04:28,-3.698447,40.424148,"(-3.698447, 40.424148)"
11,"Calle Hortaleza nº 75,",01,014,8,11,1411,2,7 - Hortaleza,0,7,0,19,2024-02-18 19:04:28,-3.6977715,40.4251906,"(-3.6977715, 40.4251906)"
12,"Plaza de Alonso Martínez nº 6,",07,074,21,3,1412,1,8 - Alonso Martínez,0,8,0,24,2024-02-18 19:04:28,-3.6954403,40.4278682,"(-3.6954403, 40.4278682)"
13,"Plaza de San Miguel nº 10,",01,011,12,12,1413,2,9 - Plaza de San Miguel,0,9,0,24,2024-02-18 19:04:28,-3.7095084,40.4156057,"(-3.7095084, 40.4156057)"
14,"Calle Marqués de la Ensenada (junto a edif, Centro Colón),",01,014,9,14,1414,2,10 - Marqués de la Ensenada,0,10,0,23,2024-02-18 19:04:28,-3.692104,40.425403,"(-3.692104, 40.425403)"
15,"Calle San Andrés nº 18 - 20,",01,015,5,18,1415,0,11 - Plaza del Dos de Mayo,0,11,0,23,2024-02-18 19:04:28,-3.7036,40.427,"(-3.7036, 40.427)"
16,"Calle San Bernardo nº 85 - 87,",01,015,13,14,1416,2,12 - San Hermenegildo,0,12,0,27,2024-02-18 19:04:28,-3.7061406,40.4284667,"(-3.7061406, 40.4284667)"
17,"Avda del Ensanche de Vallecas, 80,",18,183,3,24,2340,0,"448 - Avda del Ensanche de Vallecas, 80",0,448,0,27,2024-02-18 19:04:28,-3.599352,40.363376,"(-3.599352, 40.363376)"
18,"Calle de los Pinillas, 19,",19,192,6,21,2341,0,"472 - Calle de los Pinillas, 19",0,472,0,27,2024-02-18 19:04:28,-3.6211485,40.3987974,"(-3.6211485, 40.3987974)"
19,"473 - Calle de Vilablanca, frente  85,",19,191,13,14,2342,2,"473 - Calle de Villablanca, frente  85",0,473,0,27,2024-02-18 19:04:28,-3.59888007,40.40500033,"(-3.59888007, 40.40500033)"
20,"Calle San Cipriano, 124,",19,193,14,13,2343,2,"474 - Calle San Cipriano, 124",0,474,0,27,2024-02-18 19:04:28,-3.596875,40.402255,"(-3.596875, 40.402255)"
21,"541- Avda. Gran Vía de Hortaleza, 68,",16,163,2,21,2347,0,"541 - Avda. Gran Vía de Hortaleza, 68",0,541,0,23,2024-02-18 19:04:28,-3.6468591,40.4682706,"(-3.6468591, 40.4682706)"
22,"546 - Calle Andorra, 6,",16,163,10,13,2348,2,"546 - Calle Andorra, 6",0,546,0,23,2024-02-18 19:04:28,-3.6467519,40.4628976,"(-3.6467519, 40.4628976)"
23,"550 - Calle del Príncipe Carlos, 54,",16,166,5,18,2349,0,"550 - Calle del Príncipe Carlos, 54",0,550,0,23,2024-02-18 19:04:28,-3.656674,40.4941108,"(-3.656674, 40.4941108)"
24,"553 - Calle de María de Portugal, 24,",16,166,4,19,2350,0,"553 - Calle de María de Portugal, 24",0,553,0,23,2024-02-18 19:04:28,-3.658921,40.499909,"(-3.658921, 40.499909)"
25,"Calle Antonio de Cabezón, s/n (Estacion Cercanías Fuencarral),",08,086,6,17,2351,0,601 - Estación de tren de Fuencarral,0,601,0,23,2024-02-18 19:04:28,-3.6824687,40.5015588,"(-3.6824687, 40.5015588)"
26,"Paseo de las Yeserías, 15,",02,022,0,23,2333,0,"276 - Paseo de las Yeserías, 15",0,276,0,23,2024-02-18 19:04:28,-3.7099166,40.39900539,"(-3.7099166, 40.39900539)"
